rep,n,thr,method,f1
6,10,0.5,Flex,0.7692307692307693
6,10,0.8,Cal,0.8277404921700223
6,10,0.8,mCal,0.8277404921700223
6,10,0.8,Flex,0.8140495867768595
6,25,0.2,Cal,0.8225352112676055
6,25,0.2,mCal,0.8262108262108262
6,25,0.2,Flex,0.8182648401826484
6,25,0.5,Cal,0.8949152542372881
6,25,0.5,mCal,0.8964346349745331
6,25,0.5,Flex,0.8988391376451078
6,25,0.8,Cal,0.8780487804878049
6,25,0.8,mCal,0.8780487804878049
6,25,0.8,Flex,0.8859416445623343
7,5,0.2,Cal,0.5959420289855073
7,5,0.2,mCal,0.655003498950315
7,5,0.2,Flex,0.5983213429256594
7,5,0.5,Cal,0.678
7,5,0.5,mCal,0.6795918367346938
7,5,0.5,Flex,0.6634146341463415
7,5,0.8,Cal,0.6322188449848025
7,5,0.8,mCal,0.6439628482972137
7,5,0.8,Flex,0.6303030303030303
7,10,0.2,Cal,0.6945088940448569
7,10,0.2,mCal,0.7021996615905246
7,10,0.2,Flex,0.6724273369992144
7,10,0.5,Cal,0.7746031746031746
7,10,0.5,mCal,0.7763578274760384
7,10,0.5,Flex,0.7597597597597597
7,10,0.8,Cal,0.8333333333333334
7,10,0.8,mCal,0.8333333333333334
7,10,0.8,Flex,0.8366890380313199
7,25,0.2,Cal,0.8227611940298507
7,25,0.2,mCal,0.8246445497630331
7,25,0.2,Flex,0.8139534883720929
7,25,0.5,Cal,0.9001692047377327
7,25,0.5,mCal,0.899830220713073
7,25,0.5,Flex,0.8968903436988543
7,25,0.8,Cal,0.9144385026737968
7,25,0.8,mCal,0.9144385026737968
7,25,0.8,Flex,0.9033942558746736
8,5,0.2,Cal,0.564396107613051
8,5,0.2,mCal,0.6260504201680672
8,5,0.2,Flex,0.5652173913043478
8,5,0.5,Cal,0.6749999999999999
8,5,0.5,mCal,0.6808510638297872
8,5,0.5,Flex,0.6565349544072947
8,5,0.8,Cal,0.6774668630338734
8,5,0.8,mCal,0.682492581602374
8,5,0.8,Flex,0.6744868035190615
