rep,n,bin,method,bias,variance,rmse,binlabel
1,25,3,Samp,0.035486788620771474,0.004347578063115507,0.07487917086700963,100000-1000000
2,5,0,Samp,0.14843788401567085,0.07554836436874804,0.3123814491607941,0-1000
2,5,1,Samp,0.17236717101465412,0.05915748279365624,0.29810723647246684,1000-10000
2,5,2,Samp,0.21807471450110685,0.06664323446206435,0.3379346320914795,10000-100000
2,5,3,Samp,0.21365598214202136,0.05948658754411766,0.3242459965044895,100000-1000000
2,10,0,Samp,0.06704740003920544,0.03227060318093345,0.19174450978567992,0-1000
2,10,1,Samp,0.07696875382801827,0.026836858218921355,0.18100013062083528,1000-10000
2,10,2,Samp,0.09849869787487067,0.02828968625726608,0.19491454471206385,10000-100000
2,10,3,Samp,0.10139001522338582,0.01918777886460673,0.17166162661353623,100000-1000000
2,25,0,Samp,0.02581940700881248,0.010938616728992368,0.10772770538389409,0-1000
2,25,1,Samp,0.025024957331267084,0.008934356147450586,0.09777834441675888,1000-10000
2,25,2,Samp,0.03416888645147219,0.008844370012481444,0.10005939642939608,10000-100000
2,25,3,Samp,0.03670553772857374,0.0056567889648263025,0.08369041441389839,100000-1000000
3,5,0,Samp,0.15761261030535453,0.05691082904104806,0.28592405279779387,0-1000
3,5,1,Samp,0.1578640314858684,0.0653746746418072,0.30049247424649167,1000-10000
3,5,2,Samp,0.21209550272938654,0.06502654727275468,0.33167913644181163,10000-100000
3,5,3,Samp,0.222942524697831,0.06359782796543516,0.3366024320828329,100000-1000000
3,10,0,Samp,0.04286674663091703,0.025245256445790787,0.1645685705489053,0-1000
3,10,1,Samp,0.05470387462522741,0.029036534108314402,0.17896661143164946,1000-10000
3,10,2,Samp,0.07787702477504943,0.02185981352743463,0.16710668602796327,10000-100000
3,10,3,Samp,0.08928504874499713,0.020136204425067437,0.1676544790766532,100000-1000000
3,25,0,Samp,0.026111887316020068,0.010615416530463695,0.10628850920804292,0-1000
3,25,1,Samp,0.021088682987638076,0.007587422893735255,0.08962229323047001,1000-10000
3,25,2,Samp,0.03548683328147473,0.007490331797790701,0.09353954850296148,10000-100000
3,25,3,Samp,0.03640111661816461,0.004231149077560819,0.07453985758377889,100000-1000000
4,5,0,Samp,0.12345925482358514,0.06945468067453303,0.29102726380208427,0-1000
4,5,1,Samp,0.19024256512228943,0.07280089294863723,0.33014107065457,1000-10000
4,5,2,Samp,0.22585603670263776,0.07001454031286862,0.34788717945318404,10000-100000
4,5,3,Samp,0.23140502832114512,0.0731124615384264,0.35589429423739904,100000-1000000
4,10,0,Samp,0.06124803103710315,0.030579901148240555,0.18528686530394567,0-1000
4,10,1,Samp,0.07104004863872587,0.02919647858565795,0.18504909374609346,1000-10000
4,10,2,Samp,0.0887466380691135,0.024123339168298917,0.17888349542892196,10000-100000
4,10,3,Samp,0.12099891952923744,0.026384958548921165,0.20254801178032839,100000-1000000
4,25,0,Samp,0.008414074931147604,0.00863109082285134,0.09328390793592595,0-1000
4,25,1,Samp,0.005418157473769228,0.008605720915090794,0.09292511687106643,1000-10000
4,25,2,Samp,0.018254101798828522,0.005706529553460563,0.07771577565682888,10000-100000
4,25,3,Samp,0.024279861387326396,0.003744469238878584,0.0658329773583602,100000-1000000
5,5,0,Samp,0.15523902127484246,0.0803370142310107,0.32316585209050425,0-1000
5,5,1,Samp,0.20372711211095687,0.07997885789610938,0.34854496712071426,1000-10000
5,5,2,Samp,0.23543183885643787,0.077187890405125,0.3641648543619342,10000-100000
5,5,3,Samp,0.24158983158546854,0.07211983196505577,0.3612277379860949,100000-1000000
5,10,0,Samp,0.06076374867386364,0.030274501537809882,0.18430066383686833,0-1000
5,10,1,Samp,0.07424278230511516,0.0330772681337486,0.1964414896557072,1000-10000
5,10,2,Samp,0.09541016063031932,0.024057756572920377,0.18210122274280235,10000-100000
5,10,3,Samp,0.08716339642866724,0.013618833067573631,0.14565812968919598,100000-1000000
5,25,0,Samp,0.015120687778413935,0.011535828239889079,0.10846411129392687,0-1000
5,25,1,Samp,0.02015327688483338,0.009635014510820212,0.10020563397342971,1000-10000
5,25,2,Samp,0.039696720275756346,0.007313824102159368,0.09428496010929321,10000-100000
5,25,3,Samp,0.04266975409373657,0.005980592410778505,0.08832496999828787,100000-1000000
6,5,0,Samp,0.14049020513230231,0.07042712817649864,0.3002742511681863,0-1000
6,5,1,Samp,0.17644323385704538,0.07006126601742613,0.31810922776832196,1000-10000
6,5,2,Samp,0.22193535183467725,0.06868922073186377,0.34343051862909,10000-100000
6,5,3,Samp,0.26425967711504905,0.07614969304947435,0.382077047201771,100000-1000000
6,10,0,Samp,0.04672689470483069,0.025902107348115662,0.1675873206327734,0-1000
6,10,1,Samp,0.048847207451597756,0.02512958240625518,0.16587836532252964,1000-10000
6,10,2,Samp,0.0816914323097357,0.020827553327654437,0.16583438557931995,10000-100000
6,10,3,Samp,0.08272792566789965,0.015838976922712526,0.15060838823925465,100000-1000000
6,25,0,Samp,0.015335143343084478,0.009994974324374569,0.10114415922695447,0-1000
6,25,1,Samp,0.021432908663413172,0.011082403636055935,0.10743264499131605,1000-10000
6,25,2,Samp,0.031438369131423345,0.007447159852791649,0.09184514634119367,10000-100000
6,25,3,Samp,0.032614797825701015,0.006763540058711537,0.08847183221750801,100000-1000000
7,5,0,Samp,0.14159825926073047,0.07155486462852845,0.3026630662208349,0-1000
7,5,1,Samp,0.14861984764490765,0.0579624549872024,0.28293164209963856,1000-10000
7,5,2,Samp,0.21577677984328267,0.0730248058182372,0.34580980977666564,10000-100000
7,5,3,Samp,0.22433547520820465,0.06592010516918727,0.3409494252907288,100000-1000000
7,10,0,Samp,0.07045272226859363,0.03243078549832166,0.19337624356000208,0-1000
7,10,1,Samp,0.08273901736393453,0.03143674957852724,0.1956591285191588,1000-10000
7,10,2,Samp,0.11001930702093332,0.02693155197638688,0.19757479569457556,10000-100000
7,10,3,Samp,0.1080443306263011,0.02157008016597274,0.18232843318160283,100000-1000000
7,25,0,Samp,0.011998750967936294,0.007754261069967469,0.08887199274663543,0-1000
7,25,1,Samp,0.008625604047382473,0.00847293832263511,0.0924518218739757,1000-10000
7,25,2,Samp,0.03070163293401227,0.006478746767405905,0.08614718238120578,10000-100000
7,25,3,Samp,0.03118615995049447,0.004673132796421441,0.07513793561763103,100000-1000000
8,5,0,Samp,0.14426588784040653,0.07359058488711011,0.30725108833247583,0-1000
8,5,1,Samp,0.19081327933270809,0.07368437793258394,0.3318042879504212,1000-10000
8,5,2,Samp,0.21444066230988518,0.06620028014606398,0.33494040932375746,10000-100000
8,5,3,Samp,0.23589381646373084,0.07033363724551539,0.3549359518157321,100000-1000000
8,10,0,Samp,0.07161521187494191,0.030172422566187917,0.1878860323123588,0-1000
8,10,1,Samp,0.06320142064519363,0.02804109204707924,0.17898466866927443,1000-10000
8,10,2,Samp,0.09007217845818725,0.02503930263273045,0.18207773055740228,10000-100000
8,10,3,Samp,0.09829210713646029,0.019094967192110388,0.16957684251523195,100000-1000000
8,25,0,Samp,0.011767114629721291,0.00792531909599909,0.08979857505945231,0-1000
8,25,1,Samp,0.014706476833164957,0.00792623656656649,0.09023589655680773,1000-10000
8,25,2,Samp,0.031920310663710795,0.007319338723220827,0.09131399102048182,10000-100000
8,25,3,Samp,0.037859822963978045,0.005270969601337085,0.08188000852589626,100000-1000000
9,5,0,Samp,0.16582761231949214,0.0675009377200735,0.30822026981958417,0-1000
9,5,1,Samp,0.1754463707746744,0.07149415485607352,0.3198055407182278,1000-10000
9,5,2,Samp,0.2062973201466733,0.07657084945020551,0.34515132007556415,10000-100000
9,5,3,Samp,0.24807499821261067,0.07398988795298077,0.36814547761879074,100000-1000000
9,10,0,Samp,0.08052474957879072,0.0337618104483243,0.20061417134153622,0-1000
9,10,1,Samp,0.08288688797185963,0.03975603819887366,0.21593117976923404,1000-10000
9,10,2,Samp,0.08804871672837421,0.026563720997231997,0.18524658570334157,10000-100000
9,10,3,Samp,0.11461753696271548,0.027301343029116316,0.20109331865707464,100000-1000000
9,25,0,Samp,0.014497680080335917,0.009361424718147009,0.09783459227624336,0-1000
