pop,rep,n,bin,method,bias,variance,rmse,binlabel
AFR,13,25,0,4r2,0.13863566798296834,0.1863917442616302,0.4534441450704971,0-1000
AFR,13,25,1,4r2,0.14797705240231676,0.11674701016033211,0.3723495913761825,1000-10000
AFR,13,25,2,4r2,0.15019366968739944,0.05679263319438871,0.2816926900161883,10000-100000
AFR,13,25,3,4r2,0.17559014744938037,0.07438641672215883,0.3243737298294268,100000-1000000
AFR,14,5,0,4r2,0.9727252314813138,1.473170091407602,1.5554306372731563,0-1000
AFR,14,5,1,4r2,0.9841588647891985,1.3393098343190701,1.5191703345781322,1000-10000
AFR,14,5,2,4r2,1.0440784801211993,1.2998653714856325,1.545951242484001,10000-100000
AFR,14,5,3,4r2,1.0537825947024146,1.2692909729826054,1.5426434227910089,100000-1000000
AFR,14,10,0,4r2,0.48456071426522795,0.8677496974105183,1.0500232298476764,0-1000
AFR,14,10,1,4r2,0.42053130644280573,0.4832458746466451,0.812460740186957,1000-10000
AFR,14,10,2,4r2,0.3997247543075678,0.31935228114855313,0.6921937303636884,10000-100000
AFR,14,10,3,4r2,0.44340756070436127,0.3299202980227555,0.7256242573898335,100000-1000000
AFR,14,25,0,4r2,0.16767350903422723,0.2744238755613107,0.5500347999837482,0-1000
AFR,14,25,1,4r2,0.1794849626154265,0.1976950271739989,0.4794891854662209,1000-10000
AFR,14,25,2,4r2,0.16456039363177538,0.07950642866682898,0.3264759590216006,10000-100000
AFR,14,25,3,4r2,0.17346253193461109,0.0711908218554802,0.3182453013646017,100000-1000000
AFR,15,5,0,4r2,1.0218453523050863,1.5237210455421126,1.6024634066241945,0-1000
AFR,15,5,1,4r2,0.95780227559428,1.2624547493378833,1.4764281047418002,1000-10000
AFR,15,5,2,4r2,1.0628910895280574,1.3653109259620708,1.579572218722592,10000-100000
AFR,15,5,3,4r2,0.9618105694336605,1.0649383903237328,1.4106799643427403,100000-1000000
AFR,15,10,0,4r2,0.40671573270874256,0.7091123024591872,0.9351630818696793,0-1000
AFR,15,10,1,4r2,0.43477096907951035,0.54830918944869,0.8586821210453998,1000-10000
AFR,15,10,2,4r2,0.45082923659980045,0.4378449744166653,0.800682193501157,10000-100000
AFR,15,10,3,4r2,0.49527071900144476,0.43493225641175554,0.8247577471669869,100000-1000000
AFR,15,25,0,4r2,0.1742642096858571,0.26216206913379725,0.5408605031902715,0-1000
AFR,15,25,1,4r2,0.14813644471705947,0.12930246625333955,0.38890470877420596,1000-10000
AFR,15,25,2,4r2,0.211531274116017,0.2353213093113572,0.5292133683501417,10000-100000
AFR,15,25,3,4r2,0.15917956213609344,0.07508109235759745,0.31688992625111306,100000-1000000
AFR,16,5,0,4r2,0.9402629488657317,1.5309701387700827,1.5540477958479155,0-1000
AFR,16,5,1,4r2,1.0026680984500325,1.2643521187807525,1.5065508403071421,1000-10000
AFR,16,5,2,4r2,0.9720327296948085,1.0684751725504498,1.4189160652231654,10000-100000
AFR,16,5,3,4r2,0.8769566940019635,0.8536619888888695,1.2738583249497264,100000-1000000
AFR,16,10,0,4r2,0.4889652637186604,0.7863355353941697,1.0126315048020325,0-1000
AFR,16,10,1,4r2,0.41219215661738884,0.4835726553619794,0.808378023785205,1000-10000
AFR,16,10,2,4r2,0.38495269474326466,0.23907128962140173,0.6223020703898572,10000-100000
AFR,16,10,3,4r2,0.4513268832450319,0.40181848669785386,0.7781480850310746,100000-1000000
AFR,16,25,0,4r2,0.16915746642434698,0.2612009797174305,0.538344897035845,0-1000
AFR,16,25,1,4r2,0.1765655046288201,0.15250353679968515,0.4285777808339054,1000-10000
AFR,16,25,2,4r2,0.16028199309712973,0.06553499730210019,0.302035287033301,10000-100000
AFR,16,25,3,4r2,0.15341395026448545,0.05841057855428442,0.28626284895186527,100000-1000000
AFR,17,5,0,4r2,0.96020238426921,1.4172128177426475,1.5294448131589853,0-1000
AFR,17,5,1,4r2,0.9443890267368436,1.2151009844443446,1.4515411183515634,1000-10000
AFR,17,5,2,4r2,1.0246842917651,1.2110101542373035,1.5036582231436266,10000-100000
AFR,17,5,3,4r2,1.00489576643834,1.0950130805273943,1.4508027370849192,100000-1000000
AFR,17,10,0,4r2,0.4196018078583574,0.724389602109641,0.9489232209550164,0-1000
AFR,17,10,1,4r2,0.3966944768351799,0.4151382228817028,0.75664042373722,1000-10000
AFR,17,10,2,4r2,0.4940894156561227,0.4920947310073145,0.8580320982753054,10000-100000
AFR,17,10,3,4r2,0.43314424789932815,0.28525382272656324,0.6876538098599018,100000-1000000
AFR,17,25,0,4r2,0.16129944661037274,0.25798094971211527,0.5329150600132517,0-1000
AFR,17,25,1,4r2,0.1406251311618575,0.09687126000452093,0.3415357778019904,1000-10000
AFR,17,25,2,4r2,0.16772599216596062,0.07102876563608182,0.31489803759969304,10000-100000
AFR,17,25,3,4r2,0.16379130120793078,0.09246148106943888,0.34538250016586824,100000-1000000
AFR,18,5,0,4r2,1.0406650471595102,1.6682891100271922,1.6586961296170852,0-1000
AFR,18,5,1,4r2,0.8678175839141811,1.0828694691023348,1.3549822242571972,1000-10000
AFR,18,5,2,4r2,1.0446667412950488,1.2044003474507416,1.515166310283712,10000-100000
AFR,18,5,3,4r2,0.9943758337375591,1.1339300429467267,1.4569534452644644,100000-1000000
AFR,18,10,0,4r2,0.5558947403299141,0.9089008189161496,1.1035940291803923,0-1000
AFR,18,10,1,4r2,0.3638308402059826,0.3329351325507265,0.6821348934307039,1000-10000
AFR,18,10,2,4r2,0.43601767486871984,0.38652754343569284,0.7593674711453062,10000-100000
AFR,18,10,3,4r2,0.5019684077802828,0.47866819663410226,0.854775104365806,100000-1000000
AFR,18,25,0,4r2,0.17428496024321283,0.24974116590999468,0.5292602509890318,0-1000
AFR,18,25,1,4r2,0.1292637904125128,0.12182458515416027,0.3722011723060129,1000-10000
AFR,18,25,2,4r2,0.15954439920564162,0.0717694662895474,0.31180744315592684,10000-100000
AFR,18,25,3,4r2,0.15791691242695557,0.06380448944165072,0.2978963589440352,100000-1000000
AFR,19,5,0,4r2,0.8406035616641228,1.37766758576821,1.443704240365948,0-1000
AFR,19,5,1,4r2,1.1401316420932956,1.5104747123527755,1.6764172731319402,1000-10000
AFR,19,5,2,4r2,0.9507532449049014,1.023294394058639,1.388245701147977,10000-100000
AFR,19,5,3,4r2,0.9808834842433509,1.1191321081931047,1.4426588362653454,100000-1000000
AFR,19,10,0,4r2,0.44380748676770176,0.7761726888797074,0.986477457517794,0-1000
AFR,19,10,1,4r2,0.49702345324439273,0.6315239211157518,0.93731330631264,1000-10000
AFR,19,10,2,4r2,0.4428025864882341,0.4387863262046784,0.7967813105271411,10000-100000
AFR,19,10,3,4r2,0.42484607561242027,0.40448573174409974,0.7648398000283289,100000-1000000
AFR,19,25,0,4r2,0.14043029911111402,0.2391903436678546,0.5088329908489538,0-1000
AFR,19,25,1,4r2,0.14033997616347943,0.17303038750302974,0.439005348956702,1000-10000
AFR,19,25,2,4r2,0.151009952072791,0.07499978768288909,0.312735980194022,10000-100000
AFR,19,25,3,4r2,0.19083020029887088,0.13431539853137894,0.41319676169772446,100000-1000000
AFR,20,5,0,4r2,0.8563411023809125,1.3518260792687022,1.4440035190039042,0-1000
AFR,20,5,1,4r2,0.7759471999075294,1.0088112802718507,1.2692144567866324,1000-10000
AFR,20,5,2,4r2,1.0028134094745642,1.1749002554861117,1.4766634652852055,10000-100000
AFR,20,5,3,4r2,1.007471873409637,1.213310825415197,1.4927526255634993,100000-1000000
AFR,20,10,0,4r2,0.5633721085879295,0.9684229791615951,1.1339361145569027,0-1000
AFR,20,10,1,4r2,0.5077338708851011,0.7130662171266975,0.9853222319478364,1000-10000
AFR,20,10,2,4r2,0.3904706813702798,0.33364096281481936,0.6972146841716617,10000-100000
AFR,20,10,3,4r2,0.40572364953658946,0.30124039735062236,0.6825335721734951,100000-1000000
AFR,20,25,0,4r2,0.154955853643658,0.2570546485586678,0.5301565477640567,0-1000
AFR,20,25,1,4r2,0.1714029858544585,0.15297660830079438,0.42703113687483973,1000-10000
AFR,20,25,2,4r2,0.15745329432042526,0.13309792436151505,0.39735307253608787,10000-100000
AFR,20,25,3,4r2,0.16046763189891913,0.05303156631205485,0.2806802935713547,100000-1000000
AFR,21,5,0,4r2,0.9991995290154674,1.5196047054060478,1.5868221085524299,0-1000
AFR,21,5,1,4r2,0.9129403663289561,1.1501456743969776,1.4084054057230206,1000-10000
AFR,21,5,2,4r2,0.9781483238707644,1.095699156789227,1.4326455598927506,10000-100000
AFR,21,5,3,4r2,0.9561009491674324,1.028832964057144,1.3939017142740047,100000-1000000
AFR,21,10,0,4r2,0.5169435840152226,0.7851273518304073,1.0258450277136946,0-1000
AFR,21,10,1,4r2,0.4209498651908461,0.5359789417825315,0.8444985084573702,1000-10000
AFR,21,10,2,4r2,0.4286050738101903,0.3685557516365499,0.743140673716887,10000-100000
AFR,21,10,3,4r2,0.49138671805413514,0.5072301082512172,0.8652693308624958,100000-1000000
AFR,21,25,0,4r2,0.2068305889470078,0.2775000819206127,0.5659319521327443,0-1000
AFR,21,25,1,4r2,0.16929534301270935,0.14604246231492252,0.41797532879431226,1000-10000
AFR,21,25,2,4r2,0.17528002272993085,0.161575236873338,0.43851832714442285,10000-100000
AFR,21,25,3,4r2,0.1762434748108452,0.06693014196242325,0.31303658632151016,100000-1000000
AFR,22,5,0,4r2,1.004368011707613,1.5892231926657008,1.6118245238260909,0-1000
AFR,22,5,1,4r2,1.050404026700364,1.2720791958078101,1.541242296044379,1000-10000
AFR,22,5,2,4r2,0.9200264630929095,0.9319464423373364,1.3335648222447174,10000-100000
AFR,22,5,3,4r2,0.997265266429624,1.1412793882482568,1.4614436013323284,100000-1000000
AFR,22,10,0,4r2,0.4367507100317588,0.7229131511544474,0.9558579046425744,0-1000
AFR,22,10,1,4r2,0.4865149554341178,0.5781980599004105,0.9027152717005912,1000-10000
AFR,22,10,2,4r2,0.41171104070516606,0.3989231327997533,0.7539423809803267,10000-100000
AFR,22,10,3,4r2,0.4815849677081946,0.4549760010131849,0.8287943545510477,100000-1000000
AFR,22,25,0,4r2,0.13353552189774145,0.20781861893214185,0.47502668824040195,0-1000
AFR,22,25,1,4r2,0.11099328361851164,0.07799765324019808,0.3005281388632643,1000-10000
AFR,22,25,2,4r2,0.17601176537109375,0.07857604033229487,0.33099272179512323,10000-100000
AFR,22,25,3,4r2,0.17384631107863377,0.09853686589438766,0.3588306087418362,100000-1000000
AFR,23,5,0,4r2,1.0864037555164352,1.5721096439634659,1.6590306699888584,0-1000
AFR,23,5,1,4r2,1.0275573848355277,1.2441847256631844,1.5165945090211863,1000-10000
AFR,23,5,2,4r2,1.0264500292980596,1.2561222821821156,1.5197769391684106,10000-100000
AFR,23,5,3,4r2,0.9908937197168265,1.1550907479961703,1.4618348442181897,100000-1000000
AFR,23,10,0,4r2,0.3495783914829213,0.6071557040802996,0.8540262032701844,0-1000
AFR,23,10,1,4r2,0.43081467555857544,0.5971545245063623,0.8847348807315121,1000-10000
AFR,23,10,2,4r2,0.4899705542943694,0.5016387366974757,0.8612258012699151,10000-100000
AFR,23,10,3,4r2,0.46476827947479904,0.44069701330972644,0.8103743375229076,100000-1000000
AFR,23,25,0,4r2,0.1243053968116021,0.20468451994819126,0.46918690478814634,0-1000
AFR,23,25,1,4r2,0.14298450239263566,0.11730031606438635,0.3711399789686581,1000-10000
AFR,23,25,2,4r2,0.15185041806937513,0.07053251752542643,0.30592657124426187,10000-100000
AFR,23,25,3,4r2,0.15708230298362374,0.05759013228294695,0.28681872706220896,100000-1000000
AFR,24,5,0,4r2,0.9002526681272035,1.4900422587578885,1.5167389772891173,0-1000
AFR,24,5,1,4r2,1.0783744917012188,1.413586950895871,1.6051412695609484,1000-10000
AFR,24,5,2,4r2,0.8957304996851252,0.8562910365530967,1.2878758343176024,10000-100000
AFR,24,5,3,4r2,1.0575586991767278,1.2230404422809342,1.5301865391138776,100000-1000000
AFR,24,10,0,4r2,0.48230196242370754,0.8229849696967739,1.027424037413245,0-1000
AFR,24,10,1,4r2,0.491909187785723,0.6500533749971811,0.9444723521761719,1000-10000
AFR,24,10,2,4r2,0.40662935772381387,0.29401301449446854,0.6777613511091864,10000-100000
AFR,24,10,3,4r2,0.44244004485805966,0.3446031836526096,0.7350893666396021,100000-1000000
AFR,24,25,0,4r2,0.16025598624498613,0.2855233258497172,0.5578577838276261,0-1000
AFR,24,25,1,4r2,0.14069815938507826,0.10803164173860043,0.3575298781821588,1000-10000
