rep,n,thr,method,f1
18,5,0.8,Flex,0.7760711398544867
18,10,0.2,Cal,0.7779503105590062
18,10,0.2,mCal,0.7738814993954051
18,10,0.2,Flex,0.762934362934363
18,10,0.5,Cal,0.8296296296296296
18,10,0.5,mCal,0.8323150033944331
18,10,0.5,Flex,0.8216355441081777
18,10,0.8,Cal,0.8556375131717598
18,10,0.8,mCal,0.8556375131717598
18,10,0.8,Flex,0.8433268858800775
18,25,0.2,Cal,0.8775767774505678
18,25,0.2,mCal,0.879932117098006
18,25,0.2,Flex,0.8761354252683733
18,25,0.5,Cal,0.9013678905687545
18,25,0.5,mCal,0.9026676279740448
18,25,0.5,Flex,0.9001386962552012
18,25,0.8,Cal,0.9318681318681319
18,25,0.8,mCal,0.9318681318681319
18,25,0.8,Flex,0.9273504273504274
19,5,0.2,Cal,0.6973365617433414
19,5,0.2,mCal,0.6949352179034157
19,5,0.2,Flex,0.6963534361851332
19,5,0.5,Cal,0.7498613422074321
19,5,0.5,mCal,0.7556818181818181
19,5,0.5,Flex,0.7346717308735757
19,5,0.8,Cal,0.7739403453689168
19,5,0.8,mCal,0.7800632911392406
19,5,0.8,Flex,0.7727272727272727
19,10,0.2,Cal,0.7798792756539236
19,10,0.2,mCal,0.7729752412924886
19,10,0.2,Flex,0.7670795045944867
19,10,0.5,Cal,0.8487031700288186
19,10,0.5,mCal,0.8498912255257434
19,10,0.5,Flex,0.8317373461012312
19,10,0.8,Cal,0.8562162162162162
19,10,0.8,mCal,0.8562162162162162
19,10,0.8,Flex,0.842315369261477
19,25,0.2,Cal,0.8652802893309223
19,25,0.2,mCal,0.8627630375114363
19,25,0.2,Flex,0.8601864181091878
19,25,0.5,Cal,0.9047981721249048
19,25,0.5,mCal,0.9046529366895499
19,25,0.5,Flex,0.9076127124907611
19,25,0.8,Cal,0.9321058688147296
19,25,0.8,mCal,0.9308755760368664
19,25,0.8,Flex,0.9351230425055929
20,5,0.2,Cal,0.6959361393323659
20,5,0.2,mCal,0.6964725184577524
20,5,0.2,Flex,0.6936373666789262
20,5,0.5,Cal,0.742086752637749
20,5,0.5,mCal,0.7459459459459459
20,5,0.5,Flex,0.7255014326647564
20,5,0.8,Cal,0.7880299251870325
20,5,0.8,mCal,0.795969773299748
20,5,0.8,Flex,0.7873754152823921
20,10,0.2,Cal,0.7682826622843056
20,10,0.2,mCal,0.7621107266435986
20,10,0.2,Flex,0.750814332247557
20,10,0.5,Cal,0.835066864784547
20,10,0.5,mCal,0.8444778362133732
20,10,0.5,Flex,0.8226950354609929
20,10,0.8,Cal,0.8314350797266515
20,10,0.8,mCal,0.8314350797266515
20,10,0.8,Flex,0.8310598111227702
20,25,0.2,Cal,0.8784313725490196
20,25,0.2,mCal,0.880564125165271
20,25,0.2,Flex,0.8832054560954816
20,25,0.5,Cal,0.9090909090909091
20,25,0.5,mCal,0.9081779053084648
20,25,0.5,Flex,0.9107391910739192
20,25,0.8,Cal,0.9222222222222223
20,25,0.8,mCal,0.9232480533926586
20,25,0.8,Flex,0.924548352816153
