rep,n,bin,method,bias,variance,rmse,binlabel,pop
0,5,0,Samp,0.09698840001504018,0.06441476535658908,0.271701150336296,0-1000,CEU
0,5,0,BS,-0.04106893889274517,0.10314234777661847,0.32377307719820453,0-1000,CEU
0,5,0,Rag,-0.04731903025489584,0.24515832182102149,0.4973906034951658,0-1000,CEU
0,5,0,Supp,0.059937288002683387,0.8284544954039017,0.9121660889865498,0-1000,CEU
0,5,0,Cal,-0.013988745289145982,0.05795167411303039,0.24113763519574252,0-1000,CEU
0,5,0,mCal,-0.07110766053108025,0.07144484712370121,0.27658840631867515,0-1000,CEU
0,5,0,Flex,-0.05380805510427191,0.0845525300084454,0.29571580411359444,0-1000,CEU
0,5,1,Samp,0.13505319087558582,0.07610011314366079,0.3071473221588269,1000-10000,CEU
0,5,1,BS,-0.04499934420094484,0.1256431896376019,0.35730677381784554,1000-10000,CEU
0,5,1,Rag,-0.026754471522692204,0.2283622052345118,0.47862094289841767,1000-10000,CEU
0,5,1,Supp,0.07884206739012686,0.9913370453001494,0.9987758091235984,1000-10000,CEU
0,5,1,Cal,0.004175899206024647,0.06866552045939363,0.262074337914975,1000-10000,CEU
0,5,1,mCal,-0.06935605975457708,0.08293051617637098,0.2962107006862707,1000-10000,CEU
0,5,1,Flex,-0.05260215321532401,0.09804065358246189,0.317502189134737,1000-10000,CEU
0,5,2,Samp,0.21910379884303902,0.07177062144620534,0.34608827792003627,10000-100000,CEU
0,5,2,BS,-0.008208211030354793,0.12265267221773829,0.3503142117386292,10000-100000,CEU
0,5,2,Rag,-0.016254607571646856,0.11871608895472391,0.3449352130792566,10000-100000,CEU
0,5,2,Supp,0.14038395765313919,1.0110605378941602,1.0152675477235145,10000-100000,CEU
0,5,2,Cal,0.06485683460269191,0.05263165052768775,0.23840733948930493,10000-100000,CEU
0,5,2,mCal,-0.02919361655724274,0.06330478485686376,0.253292424096251,10000-100000,CEU
0,5,2,Flex,-0.017768229702445574,0.08097810085500373,0.28512069521829275,10000-100000,CEU
0,5,3,Samp,0.2519789180951181,0.06818866686321925,0.3628802034109955,100000-1000000,CEU
0,5,3,BS,0.006020558188655468,0.12022893522062163,0.3467927080281888,100000-1000000,CEU
0,5,3,Rag,0.02041250841135916,0.11771992116815316,0.343710040103278,100000-1000000,CEU
0,5,3,Supp,0.17919086683467073,1.1250472467679906,1.0757121425013996,100000-1000000,CEU
0,5,3,Cal,0.10309760748047853,0.04267416118050596,0.23087502647255892,100000-1000000,CEU
0,5,3,mCal,0.004471874397717086,0.052078508007616986,0.22825097079365497,100000-1000000,CEU
0,5,3,Flex,0.00995274527200071,0.07047498496664738,0.2656577537078425,100000-1000000,CEU
0,10,0,Samp,0.03967314146228814,0.02755949215606176,0.17068523752670728,0-1000,CEU
0,10,0,BS,-0.022199458177999017,0.03513839360095484,0.18876230964986512,0-1000,CEU
0,10,0,Rag,-0.01481882785288356,0.16466946269394583,0.406065340004388,0-1000,CEU
0,10,0,Supp,-0.1463875912672113,1.7605933286631812,1.3349242134069623,0-1000,CEU
0,10,0,Cal,-0.016589752633131886,0.02770765395556682,0.16728082331216368,0-1000,CEU
0,10,0,mCal,-0.04238344580895212,0.031045155187439045,0.18122227144056943,0-1000,CEU
0,10,0,Flex,-0.01871193757592824,0.03517385366149814,0.18847808962673507,0-1000,CEU
0,10,1,Samp,0.06605529395190203,0.03490981068368563,0.1981744497728146,1000-10000,CEU
0,10,1,BS,-0.011590815533234752,0.04308954823059487,0.2079035719638322,1000-10000,CEU
0,10,1,Rag,-0.01492399217738507,0.10596501926683488,0.3258646111644306,1000-10000,CEU
0,10,1,Supp,-0.10168595137204886,2.133051993217138,1.4640327953715984,1000-10000,CEU
0,10,1,Cal,-0.005312110034140874,0.033566801340152136,0.18328944283064139,1000-10000,CEU
0,10,1,mCal,-0.03824971090281435,0.03661838854045317,0.19514463591039866,1000-10000,CEU
0,10,1,Flex,-0.012422567792959019,0.043267351180970054,0.2083786730247141,1000-10000,CEU
0,10,2,Samp,0.09069291660856615,0.02687253348068209,0.187343904634366,10000-100000,CEU
0,10,2,BS,-0.011686473468530646,0.03345967306579447,0.18329278962339227,10000-100000,CEU
0,10,2,Rag,-0.010722578777559886,0.0444332324249404,0.21106445963397386,10000-100000,CEU
0,10,2,Supp,-0.038124113852616756,1.800023293299949,1.3421910226778437,10000-100000,CEU
0,10,2,Cal,0.021059287033901013,0.02020988134649854,0.14371282098989907,10000-100000,CEU
0,10,2,mCal,-0.021863820742755738,0.021877213168725717,0.14951668745058885,10000-100000,CEU
