rep,n,method,rmse
16,5,Flex,25.46477358524976
16,10,BS,16.296131738207187
16,10,Rag,16.467198198168724
16,10,Supp,416.97560968536686
16,10,Cal,46.47065984003377
16,10,mCal,12.45272406782196
16,10,Flex,16.09984878465714
16,25,BS,7.705696337581029
16,25,Rag,8.250652708897496
16,25,Supp,5566.179558678438
16,25,Cal,19.513527314637283
16,25,mCal,7.208742104705301
16,25,Flex,8.188537910280436
17,5,BS,30.071139688170106
17,5,Rag,52.345402871325476
17,5,Supp,455.2322175525552
17,5,Cal,97.34680523657475
17,5,mCal,21.61799347143884
17,5,Flex,26.761773505229705
17,10,BS,16.204598893218776
17,10,Rag,18.67534670128263
17,10,Supp,430.3614140350392
17,10,Cal,47.670952078197665
17,10,mCal,12.79528644281969
17,10,Flex,16.970951244443864
17,25,BS,7.978251815851438
17,25,Rag,8.36050736639136
17,25,Supp,2001.0450869087501
17,25,Cal,19.53554756756126
17,25,mCal,7.464123605654642
17,25,Flex,8.149122433019727
18,5,BS,28.561435292135997
18,5,Rag,50.45244863876544
18,5,Supp,481.3589942861895
18,5,Cal,96.42237206328389
18,5,mCal,20.144059455278207
18,5,Flex,26.184152522073518
18,10,BS,15.685627234000956
18,10,Rag,17.07118143855629
18,10,Supp,422.2400960716701
18,10,Cal,47.34285122019086
18,10,mCal,12.166273411324424
18,10,Flex,16.459480136043798
18,25,BS,8.592469268167577
18,25,Rag,9.15346862602799
18,25,Supp,3386.4486104191164
18,25,Cal,18.931344791094567
18,25,mCal,8.055669679530414
18,25,Flex,8.409663305166161
19,5,BS,27.125319387563206
19,5,Rag,49.10195940620383
19,5,Supp,456.6885777919569
19,5,Cal,96.63178327128671
19,5,mCal,19.057252923368136
19,5,Flex,25.009591890307806
19,10,BS,16.672504525554334
19,10,Rag,18.579821948596425
19,10,Supp,389.4061693722468
19,10,Cal,48.51094904719682
19,10,mCal,12.745053697901291
19,10,Flex,18.02023432216151
19,25,BS,7.900931588863357
19,25,Rag,8.389442203661925
19,25,Supp,2731.9666462439704
19,25,Cal,19.36922922870343
19,25,mCal,7.2837351941495205
19,25,Flex,7.848745904092235
20,5,BS,26.102993869997945
20,5,Rag,48.91523073441402
20,5,Supp,467.3735600903403
20,5,Cal,96.90334063926976
20,5,mCal,19.30572128027087
20,5,Flex,24.89826350629305
20,10,BS,15.638508806869352
20,10,Rag,17.507744855002482
20,10,Supp,397.1349822480158
20,10,Cal,46.807188180918715
20,10,mCal,12.116236588069826
20,10,Flex,16.11341075654962
20,25,BS,7.938873765353904
20,25,Rag,8.502116187270945
20,25,Supp,1880.9568276855105
20,25,Cal,19.54285777845595
20,25,mCal,7.523109072934991
20,25,Flex,8.509915988200605
21,5,BS,28.33548891886143
21,5,Rag,49.694455433400826
21,5,Supp,461.6153204125015
21,5,Cal,96.94340869578822
21,5,mCal,20.873467131867578
21,5,Flex,26.07658993497422
21,10,BS,16.057193217855644
21,10,Rag,17.293006893533732
21,10,Supp,418.03571589716387
21,10,Cal,47.53548637445978
21,10,mCal,12.036750440300413
21,10,Flex,16.637393905114937
21,25,BS,7.908757708279014
21,25,Rag,8.611428128008022
21,25,Supp,2492.664306733944
21,25,Cal,19.189007509949402
21,25,mCal,7.506147758272579
21,25,Flex,8.201897635276683
22,5,BS,29.287506002046587
22,5,Rag,50.58276669149099
22,5,Supp,448.82634297156034
22,5,Cal,97.88578981513837
22,5,mCal,20.34695832886443
22,5,Flex,25.4486226195078
22,10,BS,14.797329930842078
22,10,Rag,14.871301856135284
22,10,Supp,434.8869255462456
22,10,Cal,45.65113890486421
22,10,mCal,12.077405992945529
22,10,Flex,15.806824611851818
22,25,BS,8.28413359018573
22,25,Rag,8.680453491747963
22,25,Supp,6096.741572181005
22,25,Cal,19.0192447623413
22,25,mCal,7.800515426554106
22,25,Flex,8.312287801077215
23,5,BS,27.420836177968887
23,5,Rag,49.13423989694479
23,5,Supp,433.21211917909136
23,5,Cal,97.20098093143794
23,5,mCal,19.499946113456136
23,5,Flex,25.115153968715365
23,10,BS,15.966458966820342
23,10,Rag,16.13459057479234
23,10,Supp,412.85537826103916
23,10,Cal,46.69333882970079
23,10,mCal,12.49601695880752
23,10,Flex,16.538011461217394
23,25,BS,8.46288904094055
23,25,Rag,8.62741396415058
23,25,Supp,2118.4022922946947
23,25,Cal,19.218887109530918
23,25,mCal,7.8350656208235705
23,25,Flex,8.414276843677499
24,5,BS,28.519331215308082
24,5,Rag,49.188254594171354
24,5,Supp,453.67251850721243
24,5,Cal,96.85252939320088
24,5,mCal,20.4169684915416
24,5,Flex,27.718377820303232
24,10,BS,16.32903614378842
24,10,Rag,16.173931941695052
24,10,Supp,429.6748938013692
24,10,Cal,47.60677870504567
24,10,mCal,12.411216722532728
24,10,Flex,17.34303010082278
24,25,BS,8.211601036128846
24,25,Rag,8.650102345345278
24,25,Supp,3050.1388447766676
24,25,Cal,19.00343250501818
24,25,mCal,7.636176551460308
24,25,Flex,8.069048890452866
25,5,BS,29.3061318613238
25,5,Rag,47.399466778074746
25,5,Supp,444.5456036106148
25,5,Cal,96.43987190057308
25,5,mCal,20.498785101803872
25,5,Flex,27.14063614922408
25,10,BS,15.406213561687256
25,10,Rag,17.11858931600883
25,10,Supp,414.5372501470461
25,10,Cal,47.93965355927564
25,10,mCal,11.88601081154505
25,10,Flex,16.482755542851102
25,25,BS,8.063550441978359
25,25,Rag,8.481542605894976
25,25,Supp,3800.2998306021855
25,25,Cal,20.11002818364561
25,25,mCal,7.313653057599294
25,25,Flex,8.909395390218398
26,5,BS,24.89886153398329
26,5,Rag,47.704817381033635
26,5,Supp,469.82639685848295
26,5,Cal,96.26585757504425
26,5,mCal,18.453420409064197
26,5,Flex,23.685162469535154
26,10,BS,16.14039834392448
26,10,Rag,18.048133011732066
26,10,Supp,381.8599075721244
26,10,Cal,48.1296970364803
26,10,mCal,12.302827725572277
26,10,Flex,17.471949008712315
26,25,BS,7.9864405988605744
26,25,Rag,8.291671006299788
26,25,Supp,3806.792497528518
26,25,Cal,19.448550359727424
26,25,mCal,7.453321837252336
26,25,Flex,8.321296965405299
27,5,BS,29.080980718459458
27,5,Rag,49.65528181317653
27,5,Supp,447.9666889353394
27,5,Cal,99.2958149260114
27,5,mCal,21.01231274729057
27,5,Flex,27.470997110710453
27,10,BS,15.839368074874974
27,10,Rag,17.024032997705298
27,10,Supp,423.62210739196166
27,10,Cal,47.629917897640404
27,10,mCal,12.391699467046589
27,10,Flex,16.78847210767701
27,25,BS,8.011626463159763
27,25,Rag,8.251095624911237
27,25,Supp,2244.166146865375
27,25,Cal,18.957338612354903
27,25,mCal,7.559765536512142
27,25,Flex,7.900449017927993
28,5,BS,26.956870424796673
28,5,Rag,47.92465579503709
28,5,Supp,454.2802979564912
28,5,Cal,96.66352436966125
28,5,mCal,19.44974381447994
28,5,Flex,24.26941459886513
28,10,BS,14.788092516988804
28,10,Rag,15.572392518159562
28,10,Supp,421.19697402606306
28,10,Cal,46.192094071488505
28,10,mCal,11.677882594518987
28,10,Flex,15.762355903812248
28,25,BS,7.947111741539328
28,25,Rag,8.272835503699659
28,25,Supp,3902.6611744450756
28,25,Cal,19.145448648389355
28,25,mCal,7.522676814309898
28,25,Flex,7.790278095574561
29,5,BS,32.86510074705153
29,5,Rag,53.10894498690292
29,5,Supp,452.6077275632869
29,5,Cal,98.67234867385886
29,5,mCal,22.334086687034723
29,5,Flex,28.540622590654234
29,10,BS,15.55066356164306
29,10,Rag,16.09970759330972
29,10,Supp,385.8238497363038
29,10,Cal,47.163937043192036
29,10,mCal,12.00133823914599
29,10,Flex,16.42794970966604
29,25,BS,7.833192122275136
29,25,Rag,8.374893299066095
29,25,Supp,4836.915319832354
29,25,Cal,19.357457197566408
29,25,mCal,7.3432776893929725
29,25,Flex,8.21254462436537
30,5,BS,26.49908149994302
30,5,Rag,51.00682917683723
30,5,Supp,460.9142225311627
30,5,Cal,96.9162682350981
30,5,mCal,20.166414998020617
30,5,Flex,25.682980510343945
30,10,BS,15.2298302290352
30,10,Rag,17.218666335082894
30,10,Supp,378.2444998360002
30,10,Cal,47.255177614072196
30,10,mCal,11.806444915750287
30,10,Flex,16.97525080811597
30,25,BS,8.118429954431079
30,25,Rag,8.586814650096324
30,25,Supp,3189.5534822869577
30,25,Cal,18.68961393910184
30,25,mCal,7.7072155723238955
30,25,Flex,7.692173407843765
31,5,BS,28.761535783166465
31,5,Rag,47.551160785200246
31,5,Supp,444.10800063815105
31,5,Cal,94.39851275783424
31,5,mCal,20.646381887846335
31,5,Flex,26.10891000536201
31,10,BS,15.547495084319822
31,10,Rag,16.427604645347163
31,10,Supp,436.50716455022496
31,10,Cal,47.10485600673286
31,10,mCal,11.715762886505036
31,10,Flex,15.651999313637802
31,25,BS,8.142234105875168
31,25,Rag,8.55234305245086
31,25,Supp,5549.941653138371
31,25,Cal,19.39488687284589
