rep,n,method,rmse
9,25,Flex,6.032804957146592
10,5,BS,24.89021005935152
10,5,Rag,31.385134017381727
10,5,Supp,143.4164305909259
10,5,Cal,41.23348036324583
10,5,mCal,16.92377360368546
10,5,Flex,19.908305410087674
10,10,BS,13.730073433328736
10,10,Rag,17.280724498830267
10,10,Supp,126.7415115801467
10,10,Cal,20.803638612639052
10,10,mCal,11.810118460114705
10,10,Flex,12.812398927950591
10,25,BS,6.659169918748044
10,25,Rag,9.476860164268707
10,25,Supp,411.71251907376916
10,25,Cal,8.528251173512814
10,25,mCal,6.508923982524189
10,25,Flex,6.038583956253216
11,5,BS,24.340310226034134
11,5,Rag,29.55603614671268
11,5,Supp,134.9679683464843
11,5,Cal,41.20261149256744
11,5,mCal,17.808095825371026
11,5,Flex,21.504555053620837
11,10,BS,12.173133598493973
11,10,Rag,19.969863353498923
11,10,Supp,120.90162697315557
11,10,Cal,20.00962209261659
11,10,mCal,10.124677427373213
11,10,Flex,11.31067455931859
11,25,BS,6.8913938608932295
11,25,Rag,11.185596891923817
11,25,Supp,2559.31327626345
11,25,Cal,8.883878202292811
11,25,mCal,6.554639835993807
11,25,Flex,6.5319112808683935
12,5,BS,25.942915328077955
12,5,Rag,27.459184204102826
12,5,Supp,144.43716828630352
12,5,Cal,42.26010072721292
12,5,mCal,18.01740514367842
12,5,Flex,21.464540066198264
12,10,BS,13.234185942091196
12,10,Rag,16.771075517364245
12,10,Supp,116.01196622475956
12,10,Cal,21.39980950481882
12,10,mCal,11.104667529344564
12,10,Flex,12.767397685563978
12,25,BS,7.0910301721565085
12,25,Rag,10.075438229968908
12,25,Supp,1867.3115657541134
12,25,Cal,8.688461244340385
12,25,mCal,6.856348594177082
12,25,Flex,6.457998212094697
13,5,BS,24.56267438660762
13,5,Rag,34.37914781782568
13,5,Supp,137.30454000076435
13,5,Cal,40.70610856695159
13,5,mCal,16.762393369472726
13,5,Flex,20.2625526904974
13,10,BS,13.56793624394168
13,10,Rag,19.58817484527603
13,10,Supp,134.68662148458606
13,10,Cal,21.02141804808736
13,10,mCal,11.139895506136154
13,10,Flex,12.802213202610986
13,25,BS,6.866633858082934
13,25,Rag,10.163685357330154
13,25,Supp,902.7124214727547
13,25,Cal,8.675158293419196
13,25,mCal,6.712330740056963
13,25,Flex,6.315544081068719
14,5,BS,29.73723888920213
14,5,Rag,36.105957347573586
14,5,Supp,144.86432202479455
14,5,Cal,45.01764770152643
14,5,mCal,20.11988276154366
14,5,Flex,24.408920702928633
14,10,BS,13.239530444869791
14,10,Rag,18.670523174011578
14,10,Supp,128.2589977125036
14,10,Cal,20.317204714761008
14,10,mCal,11.213407137579962
14,10,Flex,12.7821655940934
14,25,BS,6.792556478568681
14,25,Rag,11.394779860308297
14,25,Supp,2098.2601533896004
14,25,Cal,8.676570043819588
14,25,mCal,6.334426909405359
14,25,Flex,6.3007018997842525
15,5,BS,24.806005725514492
15,5,Rag,27.492362535009796
15,5,Supp,146.8458762606905
15,5,Cal,42.250362678448816
15,5,mCal,16.643464107071672
15,5,Flex,20.449370574480376
15,10,BS,12.872194196043534
15,10,Rag,15.720970632282922
15,10,Supp,138.69164789557314
15,10,Cal,19.239629333224578
15,10,mCal,10.951183269262913
15,10,Flex,11.198746589015547
15,25,BS,6.784139500597164
15,25,Rag,9.905113184507243
15,25,Supp,2637.838882681653
15,25,Cal,8.452314539666778
15,25,mCal,6.625618608330895
15,25,Flex,5.990358703836505
16,5,BS,24.94359298966307
16,5,Rag,28.66776970971261
16,5,Supp,136.45369488536767
16,5,Cal,41.79281552983628
16,5,mCal,17.90081543786616
16,5,Flex,20.858193430298957
16,10,BS,13.56299800062738
16,10,Rag,17.897065559764044
16,10,Supp,130.03821784766535
16,10,Cal,21.56613291716747
16,10,mCal,11.268705396764394
16,10,Flex,13.1059280693599
16,25,BS,6.877965655433721
16,25,Rag,9.97874319976997
16,25,Supp,1835.0140306403364
16,25,Cal,8.836649027424517
16,25,mCal,6.851815887209612
16,25,Flex,6.382073101341925
17,5,BS,24.145195040473254
17,5,Rag,33.59709908997937
17,5,Supp,125.44887493115424
17,5,Cal,41.39893444753933
17,5,mCal,17.45826565937349
17,5,Flex,21.329614784680885
17,10,BS,13.398890828858452
17,10,Rag,16.384530738078215
17,10,Supp,100.55735230768812
17,10,Cal,19.673077369645892
17,10,mCal,11.459359928765792
17,10,Flex,12.104697539076856
17,25,BS,6.851699995331631
17,25,Rag,10.255069675756546
17,25,Supp,2383.6418372165344
17,25,Cal,8.465723685841539
17,25,mCal,6.5849432226128
17,25,Flex,6.193060497548257
18,5,BS,27.19269060262165
18,5,Rag,36.52224296759184
18,5,Supp,127.71313170697427
18,5,Cal,43.4090240631905
18,5,mCal,18.897934033559963
18,5,Flex,23.02140202818901
18,10,BS,13.737674228443932
18,10,Rag,18.190488453680565
18,10,Supp,129.7137823819315
18,10,Cal,22.282703176563796
18,10,mCal,11.118240506267224
18,10,Flex,13.65109580216648
18,25,BS,6.292706563922624
18,25,Rag,9.482610513053144
18,25,Supp,2040.3408191525634
18,25,Cal,8.726393418710412
18,25,mCal,6.2105380749870855
18,25,Flex,5.937801700024487
19,5,BS,22.561445471104
19,5,Rag,26.11767131789042
19,5,Supp,128.67592531636274
19,5,Cal,40.91760517047186
19,5,mCal,16.48476231538145
19,5,Flex,19.676480747657966
19,10,BS,12.628653737319846
19,10,Rag,19.909986591235786
19,10,Supp,124.68740364876908
19,10,Cal,20.912033062231536
19,10,mCal,10.333967882489889
19,10,Flex,12.046848424970152
19,25,BS,6.720738419101423
19,25,Rag,13.849157442944346
19,25,Supp,1081.3331653803282
19,25,Cal,7.842165152331411
19,25,mCal,6.448008053478511
19,25,Flex,5.5905508658405125
20,5,BS,24.886886124204015
20,5,Rag,31.181113494117948
20,5,Supp,144.72505820701858
20,5,Cal,41.61740384868854
20,5,mCal,18.434609583261352
20,5,Flex,21.65744014014886
20,10,BS,14.467687615006879
20,10,Rag,19.08403195770618
20,10,Supp,128.0886089430458
20,10,Cal,20.67621778616595
20,10,mCal,11.632742312328672
20,10,Flex,12.730231364516266
20,25,BS,6.526066218183141
20,25,Rag,9.255948014708546
20,25,Supp,2169.88898323419
20,25,Cal,8.167831724331641
20,25,mCal,6.44332614264137
20,25,Flex,5.767376941947927
21,5,BS,25.71873470442456
21,5,Rag,28.449479106338515
21,5,Supp,130.3050232179285
21,5,Cal,42.04663076985172
21,5,mCal,19.05041770553305
21,5,Flex,22.612251123304162
21,10,BS,13.983009794687359
21,10,Rag,19.444122090131753
21,10,Supp,120.10849788539471
21,10,Cal,21.15604057960674
21,10,mCal,11.654666692824588
21,10,Flex,13.162981583270513
21,25,BS,7.073981551214179
21,25,Rag,11.836125807325235
21,25,Supp,2528.218199248387
21,25,Cal,9.404949357249658
21,25,mCal,6.52636253189075
21,25,Flex,6.840312141706871
22,5,BS,24.7778370418108
22,5,Rag,31.967417655622757
22,5,Supp,130.93397902545945
22,5,Cal,41.13598391156075
22,5,mCal,18.012152183934344
22,5,Flex,21.420529147843265
