rep,n,bin,method,bias,variance,rmse,binlabel,pop
0,5,0,Samp,0.14917067110806306,0.06594094371894324,0.2969727813079393,0-1000,AFR
0,5,0,BS,-0.014888988519676946,0.1065432057826073,0.32674896749912824,0-1000,AFR
0,5,0,Rag,-0.016933465685704627,0.21842881684741514,0.4676703530346392,0-1000,AFR
0,5,0,Supp,0.18314439167115182,0.9571477250161298,0.995333910412343,0-1000,AFR
0,5,0,Cal,0.028022859329067604,0.055270128942570336,0.23676023650002348,0-1000,AFR
0,5,0,mCal,-0.038793243883890535,0.0673659215443026,0.26243253859866084,0-1000,AFR
0,5,0,Flex,-0.02246917538798896,0.07740699286087321,0.27912695445529695,0-1000,AFR
0,5,1,Samp,0.17872204097855432,0.07283222460192293,0.32368780102664196,1000-10000,AFR
0,5,1,BS,-0.046562439132934716,0.12470181759000207,0.356187981728764,1000-10000,AFR
0,5,1,Rag,-0.039037086544198754,0.10456613729206242,0.32571464722655885,1000-10000,AFR
0,5,1,Supp,0.21265752193195273,1.5171031844108118,1.249930560489282,1000-10000,AFR
0,5,1,Cal,0.02857363705059227,0.05818135448803598,0.24289464222649076,1000-10000,AFR
0,5,1,mCal,-0.06107465093797765,0.07019732500980976,0.2718960058496733,1000-10000,AFR
0,5,1,Flex,-0.055555110671274416,0.08245777801992141,0.2924793126729119,1000-10000,AFR
0,5,2,Samp,0.24082871669732375,0.06915792820074233,0.3565899591783568,10000-100000,AFR
0,5,2,BS,-0.0058835317437193335,0.12308417513577777,0.3508828737364609,10000-100000,AFR
0,5,2,Rag,0.023052925769810245,0.09840340163121146,0.3145390898088183,10000-100000,AFR
0,5,2,Supp,0.24223837591092734,1.2932083963085592,1.1627071114741334,10000-100000,AFR
0,5,2,Cal,0.09110618272216219,0.04486240639301828,0.2305704727913405,10000-100000,AFR
0,5,2,mCal,-0.0058349448073552294,0.05509833558272612,0.23480285808233042,10000-100000,AFR
0,5,2,Flex,-0.004570474612316549,0.06822425588186119,0.2612377176443766,10000-100000,AFR
0,5,3,Samp,0.23659795985049403,0.06439692856144448,0.3469517591349847,100000-1000000,AFR
0,5,3,BS,-0.01690231769107817,0.11444148985734816,0.3387140065020611,100000-1000000,AFR
0,5,3,Rag,0.012622366106339614,0.0840283931367023,0.2901511972452031,100000-1000000,AFR
0,5,3,Supp,0.24203004184096344,1.3203521387582646,1.1742787913914663,100000-1000000,AFR
0,5,3,Cal,0.08754129492741643,0.03749423042948435,0.2125034323182881,100000-1000000,AFR
0,5,3,mCal,-0.01298627000275108,0.046719807521590155,0.21653741184879463,100000-1000000,AFR
0,5,3,Flex,-0.018262874289044762,0.05491730007440392,0.23505495666269488,100000-1000000,AFR
0,10,0,Samp,0.04753229808202028,0.029437116451193575,0.1780349286296136,0-1000,AFR
0,10,0,BS,-0.03627833178858597,0.03577409384723804,0.19258819071947472,0-1000,AFR
0,10,0,Rag,-0.028312845473169198,0.08194466616665322,0.28765653718530504,0-1000,AFR
0,10,0,Supp,0.08595526630012594,2.167984413867852,1.474914479443665,0-1000,AFR
0,10,0,Cal,-0.018980543998695417,0.025135536794008116,0.15967403622535045,0-1000,AFR
0,10,0,mCal,-0.051289027649716205,0.02709880170060995,0.1724220579214368,0-1000,AFR
0,10,0,Flex,-0.03589070107717317,0.03151226582144799,0.18110882983791537,0-1000,AFR
0,10,1,Samp,0.07811194216551198,0.03249210421157025,0.19645248718313174,1000-10000,AFR
0,10,1,BS,-0.020739136096559047,0.0410241377134426,0.20360316667349307,1000-10000,AFR
0,10,1,Rag,-0.015464304039262107,0.052367841404316634,0.2293621287478283,1000-10000,AFR
0,10,1,Supp,0.014683570070340296,3.0273568746875363,1.7399920924870742,1000-10000,AFR
0,10,1,Cal,0.0008487291560366795,0.025519447904653724,0.1597503309725336,1000-10000,AFR
0,10,1,mCal,-0.03726950855186669,0.02768058247198449,0.17049809013499873,1000-10000,AFR
0,10,1,Flex,-0.023712864047487982,0.03246451892439267,0.18173282269784763,1000-10000,AFR
0,10,2,Samp,0.10138108386123076,0.023456703710227608,0.18367043277322975,10000-100000,AFR
0,10,2,BS,-0.008293151862326802,0.029704748461680475,0.17255006470439843,10000-100000,AFR
0,10,2,Rag,-0.010877506715773312,0.020725405364814743,0.14437356238995572,10000-100000,AFR
0,10,2,Supp,0.09231258037493366,2.116630582232351,1.4577901751376396,10000-100000,AFR
0,10,2,Cal,0.03129650556228478,0.014732378537343046,0.1253469177832194,10000-100000,AFR
0,10,2,mCal,-0.010968940262858037,0.01594583598442926,0.126752331871723,10000-100000,AFR
0,10,2,Flex,-0.007425151105613706,0.01977346320642684,0.1408140478623068,10000-100000,AFR
0,10,3,Samp,0.10820269129613974,0.021646664002775238,0.18263210672415447,100000-1000000,AFR
0,10,3,BS,-0.002902055753024517,0.02739535963700297,0.16554087581197774,100000-1000000,AFR
0,10,3,Rag,0.0017149172021720897,0.019923176105383352,0.1411598988608084,100000-1000000,AFR
0,10,3,Supp,0.12131026302746688,2.7763661665009405,1.6706532693580478,100000-1000000,AFR
0,10,3,Cal,0.04078448440209284,0.012190534986170797,0.11770263019200272,100000-1000000,AFR
0,10,3,mCal,-0.0017622857084768247,0.013277906976605641,0.11524327584516132,100000-1000000,AFR
0,10,3,Flex,0.0017340848292767385,0.01692582279037106,0.13011083675300145,100000-1000000,AFR
0,25,0,Samp,0.013919498821239542,0.00790695231643746,0.09000391526968118,0-1000,AFR
0,25,0,BS,-0.017287270821344562,0.008660438217849894,0.09465351525590798,0-1000,AFR
0,25,0,Rag,-0.009643324508629673,0.030409524841109807,0.17464970240080155,0-1000,AFR
0,25,0,Supp,0.12964149150818435,8.652918137508642,2.944439684189355,0-1000,AFR
0,25,0,Cal,-0.016972863115086972,0.007388091254653003,0.0876137508441254,0-1000,AFR
0,25,0,mCal,-0.03034525050150769,0.007739452347773141,0.09306066073144115,0-1000,AFR
0,25,0,Flex,-0.016240226207963837,0.008167070063403009,0.09181946967113698,0-1000,AFR
0,25,1,Samp,0.02397920890109908,0.01174824717037081,0.11101013300547549,1000-10000,AFR
