rep,n,bin,method,bias,variance,rmse,binlabel
9,26,3,std,0.04111843166835334,0.0038171094144773326,0.07421478853532075,100000-1000000
10,16,0,std,0.03267365910330776,0.016716020081919938,0.13335512019086146,0-1000
10,16,1,std,0.03950142088211496,0.018849070736372965,0.142861586817727,1000-10000
10,16,2,std,0.05408102244719266,0.009706028462490144,0.11238676724340771,10000-100000
10,16,3,std,0.07234750427063545,0.010871468733872108,0.12690795919902628,100000-1000000
10,26,0,std,0.01464629321819527,0.011325333162698606,0.10742368020009349,0-1000
10,26,1,std,0.03492992896633859,0.010144457233793829,0.10660467706150274,1000-10000
10,26,2,std,0.044123393647219546,0.00913417639371362,0.1052665676302838,10000-100000
10,26,3,std,0.04435447461602606,0.004975149378940897,0.08332147860788716,100000-1000000
11,16,0,std,0.04570722949301438,0.021176180920620187,0.1525297733183501,0-1000
11,16,1,std,0.03613946992335313,0.019786856000039172,0.14523400871139003,1000-10000
11,16,2,std,0.0690431713739339,0.014332937436615704,0.13820237678848402,10000-100000
11,16,3,std,0.06584127918013556,0.009270346212270762,0.11664227473925273,100000-1000000
11,26,0,std,0.02377329453896526,0.010697279041781844,0.10612468409855569,0-1000
11,26,1,std,0.027093948619888123,0.011857286266913245,0.11221126645186028,1000-10000
11,26,2,std,0.04091298302398082,0.007407615191529675,0.09529683820279777,10000-100000
11,26,3,std,0.04317354782553707,0.004164052219730012,0.07764024376297352,100000-1000000
12,16,0,std,0.03943607668403245,0.015386219479385772,0.13015922412036213,0-1000
12,16,1,std,0.04309577497620654,0.020141444937897667,0.14831955622471873,1000-10000
12,16,2,std,0.06613440666885997,0.013330961330599755,0.13305908866380345,10000-100000
12,16,3,std,0.06270656690890185,0.009841040826288974,0.11735908298802253,100000-1000000
12,26,0,std,0.030142950019942508,0.010558126048303477,0.10708278799232036,0-1000
12,26,1,std,0.03216549975518536,0.011216916131365016,0.11068665459695602,1000-10000
12,26,2,std,0.04339861282184294,0.009227441574900226,0.10540816462570846,10000-100000
12,26,3,std,0.04680815185915718,0.005158430667053241,0.08572883848229346,100000-1000000
13,16,0,std,0.03390120387580012,0.016772999110067684,0.1338741600694333,0-1000
13,16,1,std,0.06789403816761568,0.02045066667309084,0.1583043495668912,1000-10000
13,16,2,std,0.056762555832257956,0.011483893544181122,0.12126780813056416,10000-100000
13,16,3,std,0.06071509394685546,0.007281900023738771,0.10472928270886923,100000-1000000
13,26,0,std,0.02773261886251727,0.0112411944482616,0.10959148049568108,0-1000
13,26,1,std,0.026196488139217558,0.00859377166330528,0.0963329001646553,1000-10000
13,26,2,std,0.04059596213330286,0.006639849311319672,0.0910378023287482,10000-100000
13,26,3,std,0.045188516359564584,0.005860883752215859,0.0888981763760905,100000-1000000
14,16,0,std,0.030008498511291826,0.01799835290646303,0.13747313515507398,0-1000
14,16,1,std,0.05773436079532116,0.018648575333387814,0.14826271193335205,1000-10000
14,16,2,std,0.06761811139388778,0.016099891936331313,0.1437779570198698,10000-100000
14,16,3,std,0.07934215381205674,0.011438540115041375,0.1331680047405436,100000-1000000
14,26,0,std,0.014084063598107625,0.011080313591188046,0.1062011037542623,0-1000
14,26,1,std,0.026438562750630848,0.01081456444786109,0.10730126769139373,1000-10000
14,26,2,std,0.03620579909199943,0.007975854042842774,0.09636759792966203,10000-100000
14,26,3,std,0.04385487638780084,0.005503075071897561,0.08617612926377498,100000-1000000
15,16,0,std,0.029223063974328046,0.020463579812240548,0.14600536729959013,0-1000
15,16,1,std,0.052229434216243834,0.017117777468314707,0.14087473608445075,1000-10000
15,16,2,std,0.06073156233338106,0.011895785405813234,0.12483632511919993,10000-100000
15,16,3,std,0.06359105534055949,0.009469810581934562,0.11624815224880206,100000-1000000
15,26,0,std,0.017805361832090753,0.011489746239528559,0.10865899479334526,0-1000
15,26,1,std,0.035256318937148194,0.0117253528032332,0.11387871104043597,1000-10000
15,26,2,std,0.04593923425484259,0.0071683901830477195,0.09632654580627825,10000-100000
15,26,3,std,0.04117131168264532,0.004165519422221652,0.0765545317266795,100000-1000000
16,16,0,std,0.03409148563586343,0.016566977774117538,0.13315106896671097,0-1000
16,16,1,std,0.04107310563166071,0.022341065455240675,0.15500988826997533,1000-10000
16,16,2,std,0.06476451372719091,0.010743283521470984,0.12221998919894603,10000-100000
16,16,3,std,0.06940655364653946,0.0081128428232186,0.11371065258940588,100000-1000000
16,26,0,std,0.021755208493925916,0.011983911405240842,0.11161182957847716,0-1000
16,26,1,std,0.03479082322235151,0.00969782100855408,0.10444243576747429,1000-10000
16,26,2,std,0.047106711165154226,0.0068156781712488245,0.09505114627423537,10000-100000
16,26,3,std,0.0530117746719081,0.006867752375683772,0.09837682973926802,100000-1000000
17,16,0,std,0.0414515124161693,0.019455598066437818,0.14551228796230803,0-1000
17,16,1,std,0.05497624889148632,0.01995188629405327,0.15157266981956846,1000-10000
17,16,2,std,0.06192333874536376,0.010971004148511543,0.12167786992664119,10000-100000
17,16,3,std,0.0672079317051055,0.007481122711905183,0.1095355138573025,100000-1000000
17,26,0,std,0.022767221720841654,0.012022711860550967,0.11198686639707771,0-1000
17,26,1,std,0.028381373531241084,0.01105063491746276,0.10888589110156831,1000-10000
17,26,2,std,0.039932224813143576,0.006754062504694869,0.09137092033695572,10000-100000
17,26,3,std,0.05040614429474865,0.005543331195594503,0.08991168210114592,100000-1000000
18,16,0,std,0.0441239216882484,0.01782936991451128,0.14062819909129876,0-1000
18,16,1,std,0.05214148613240733,0.02015970622448186,0.15125620913065976,1000-10000
18,16,2,std,0.05835601142050747,0.014664027181832753,0.13442265899298061,10000-100000
18,16,3,std,0.06588629489031636,0.008642188353684107,0.1139438116268621,100000-1000000
18,26,0,std,0.03139036655086384,0.011325904468710079,0.11095611556335086,0-1000
18,26,1,std,0.02339944402291947,0.01037209479284748,0.10449702758178925,1000-10000
18,26,2,std,0.04121232006300116,0.007633407291604932,0.09660156632570809,10000-100000
18,26,3,std,0.045871520232477654,0.0049950227526713185,0.08425686394063053,100000-1000000
19,16,0,std,0.041304941548550085,0.016644876140065386,0.1354657681349592,0-1000
19,16,1,std,0.050431222591545,0.018782724904872792,0.1460343559473275,1000-10000
19,16,2,std,0.0686392983762628,0.014151474029696933,0.13734200854539214,10000-100000
19,16,3,std,0.07442615222741542,0.011396542421450486,0.13013759855179785,100000-1000000
19,26,0,std,0.022439049630554122,0.010686821031321996,0.10578436547829016,0-1000
19,26,1,std,0.023834893962672327,0.010665415950962067,0.10598829237785606,1000-10000
19,26,2,std,0.046026642648321854,0.008773901559676094,0.10436643805914052,10000-100000
19,26,3,std,0.04662898009514728,0.00437388135608476,0.08092059775359053,100000-1000000
20,16,0,std,0.03863479409448858,0.01613568328375464,0.13277172364053336,0-1000
20,16,1,std,0.03494724785149337,0.01916818748301394,0.14279179813773496,1000-10000
20,16,2,std,0.06573530333609906,0.020124592640615845,0.15635127996055806,10000-100000
20,16,3,std,0.06768059963191948,0.008732789276756586,0.11538393667791355,100000-1000000
20,26,0,std,0.027448504146555485,0.012353707928527025,0.11448636734742917,0-1000
20,26,1,std,0.0287391827834052,0.0090099701312092,0.09917616023151518,1000-10000
20,26,2,std,0.03555682521830638,0.006894551199113194,0.0903262919570951,10000-100000
20,26,3,std,0.04246466504997515,0.0047405348480706,0.08089365009614279,100000-1000000
21,16,0,std,0.040886881695520585,0.019024121685358792,0.14386055324564231,0-1000
21,16,1,std,0.037702098170838416,0.017074509690129643,0.13599984520804861,1000-10000
